Title,Year,Medium,Length (min),Notes,Location,On Loan?,IMDB Link,Wikipedia Link
The Lord of the Rings: The Return of the King,2003,Blu-ray,201,Third in trilogy,Black Case,,https://www.imdb.com/title/tt0167260/,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Return_of_the_King
The Lord of the Rings: The Two Towers,2002,Blu-ray,179,Second in trilogy,Black Case,,https://www.imdb.com/title/tt0167261/,https://en.wikipedia.org/wiki/The_Lord_of_the_Rings:_The_Two_Towers
The Matrix,1999,DVD,136,,Black Case,,https://www.imdb.com/title/tt0133093/,https://en.wikipedia.org/wiki/The_Matrix
The Matrix Reloaded,2003,DVD,138,Second in trilogy,Black Case,,https://www.imdb.com/title/tt0234215/,https://en.wikipedia.org/wiki/The_Matrix_Reloaded
The Matrix Revolutions,2003,DVD,129,Third in trilogy,Black Case,,https://www.imdb.com/title/tt0242653/,https://en.wikipedia.org/wiki/The_Matrix_Revolutions
The Maze Runner,2014,DVD,113,Haven’t seen yet,Black Case,,https://www.imdb.com/title/tt1790864/,https://en.wikipedia.org/wiki/The_Maze_Runner_(film)
The Pink Panther,2006,DVD,93,,Orange Case,,https://www.imdb.com/title/tt0383216/,https://en.wikipedia.org/wiki/The_Pink_Panther_(2006_film)
The Princess Bride,1987,DVD,98,Second copy somewhere (storage?),Black Case,,https://www.imdb.com/title/tt0093779/,https://en.wikipedia.org/wiki/The_Princess_Bride_(film)
The Wolf of Wall Street,2013,DVD,180,Haven’t seen yet,Orange Case,,https://www.imdb.com/title/tt0993846/,https://en.wikipedia.org/wiki/The_Wolf_of_Wall_Street_(2013_film)
Willy Wonka & the Chocolate Factory,1971,DVD,100,,Black Case,,https://www.imdb.com/title/tt0067992/,https://en.wikipedia.org/wiki/Willy_Wonka_%26_the_Chocolate_Factory
